88	3891105553	CENTRUL JUDETEAN DE EXCELENTA VALCEA	CJE VÂLCEA	RÂMNICU VÂLCEA	MUNICIPIUL RÂMNICU VÂLCEA	VÂLCEA	Cu personalitate juridică	Centru Județean de Excelență	Publică de interes naţional şi local
89	3991105651	CENTRUL JUDETEAN DE EXCELENTA VRANCEA	CJE VRANCEA	FOCŞANI	MUNICIPIUL FOCŞANI	VRANCEA	Cu personalitate juridică	Centru Județean de Excelență	Publică de interes naţional şi local
90	1641104562	CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA	CJRAE DOLJ	CRAIOVA	MUNICIPIUL CRAIOVA	DOLJ	Cu personalitate juridică	Centru județean de resurse și asistență educațională	Publică de interes naţional şi local
91	2141100667	CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA	CENTRUL JUD.DE RESURSE SI ASIT.EDUCATIONALA	SLOBOZIA	MUNICIPIUL SLOBOZIA	IALOMIŢA	Cu personalitate juridică	Centru județean de resurse și asistență educațională	Publică de interes naţional şi local
92	1741100796	CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA	CJRAE	GALAŢI	MUNICIPIUL GALAŢI	GALAŢI	Cu personalitate juridică	Centru județean de resurse și asistență educațională	Publică de interes naţional şi local
93	0141103345	CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA ALBA	CJRAE ALBA	ALBA IULIA	MUNICIPIUL ALBA IULIA	ALBA	Cu personalitate juridică	Centru județean de resurse și asistență educațională	Publică de interes naţional şi local
94	5141100714	CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA CALARASI	C.J.R.A.E. CALARASI	CĂLĂRAŞI	MUNICIPIUL CĂLĂRAŞI	CĂLĂRAŞI	Cu personalitate juridică	Centru județean de resurse și asistență educațională	Publică de interes naţional şi local
95	1841105456	CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA GORJ	C.J.R.A.E. GORJ	TÂRGU JIU	MUNICIPIUL TÂRGU JIU	GORJ	Cu personalitate juridică	Centru județean de resurse și asistență educațională	Publică de interes naţional şi local
96	2441103453	CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA MARAMURES	CJRAEMM	BAIA MARE	MUNICIPIUL BAIA MARE	MARAMUREŞ	Cu personalitate juridică	Centru județean de resurse și asistență educațională	Publică de interes naţional şi local
97	3841100627	CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA VALCEA	CJRAE VALCEA	RÂMNICU VÂLCEA	MUNICIPIUL RÂMNICU VÂLCEA	VÂLCEA	Cu personalitate juridică	Centru județean de resurse și asistență educațională	Publică de interes naţional şi local
